Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
SUNTV,Sun TV Network Limited,Small Cap,Media Entertainment & Publication,INE424H01027,24-APR-2006,Nifty Smallcap 250
SPLPETRO,Supreme Petrochem Limited,Small Cap,Chemicals,INE663A01033,24-MAY-2022,Nifty Smallcap 250
SWANCORP,SWAN CORP LIMITED,Small Cap,Chemicals,INE665A01038,29-MAY-2012,Nifty Smallcap 250
SYNGENE,Syngene International Limited,Small Cap,Healthcare,INE398R01022,11-AUG-2015,Nifty Smallcap 250
SYRMA,Syrma SGS Technology Limited,Small Cap,Capital Goods,INE0DYJ01015,26-AUG-2022,Nifty Smallcap 250
TBOTEK,TBO Tek Limited,Small Cap,Consumer Services,INE673O01025,15-MAY-2024,Nifty Smallcap 250
TATACHEM,Tata Chemicals Limited,Small Cap,Chemicals,INE092A01019,01-APR-1999,Nifty Smallcap 250
TATATECH,Tata Technologies Limited,Small Cap,Information Technology,INE142M01025,30-NOV-2023,Nifty Smallcap 250
TTML,Tata Teleservices (Maharashtra) Limited,Small Cap,Telecommunication,INE517B01013,20-OCT-2000,Nifty Smallcap 250
TECHNOE,Techno Electric & Engineering Company Limited,Small Cap,Construction,INE285K01026,04-DEC-2018,Nifty Smallcap 250
TEGA,Tega Industries Limited,Small Cap,Capital Goods,INE011K01018,13-DEC-2021,Nifty Smallcap 250
TEJASNET,Tejas Networks Limited,Small Cap,Telecommunication,INE010J01012,27-JUN-2017,Nifty Smallcap 250
TENNIND,Tenneco Clean Air India Limited,Small Cap,Automobile and Auto Components,INE19RI01016,19-NOV-2025,Nifty Smallcap 250
RAMCOCEM,The Ramco Cements Limited,Small Cap,Construction Materials,INE331A01037,09-APR-1997,Nifty Smallcap 250
TIMKEN,Timken India Limited,Small Cap,Capital Goods,INE325A01013,06-FEB-2007,Nifty Smallcap 250
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Small Cap,Capital Goods,INE615H01020,21-APR-2008,Nifty Smallcap 250
