Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
ARKADE,Arkade Developers Limited,Micro Cap,Others / Diversified,INE0QRL01017,24-SEP-2024,EQUITY_L (beyond Nifty 500)
ARMANFIN,Arman Financial Services Limited,Micro Cap,Financial Services,INE109C01017,14-JUN-2016,EQUITY_L (beyond Nifty 500)
AROGRANITE,Aro Granite Industries Limited,Micro Cap,Others / Diversified,INE210C01013,24-APR-2007,EQUITY_L (beyond Nifty 500)
ARROWGREEN,Arrow Greentech Limited,Micro Cap,Information Technology,INE570D01018,21-MAY-2015,EQUITY_L (beyond Nifty 500)
ARSHIYA,Arshiya Limited,Micro Cap,Others / Diversified,INE968D01022,14-DEC-2009,EQUITY_L (beyond Nifty 500)
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Micro Cap,Others / Diversified,INE549H01021,30-SEP-2025,EQUITY_L (beyond Nifty 500)
ARTEMISMED,Artemis Medicare Services Limited,Micro Cap,Automobile & Auto Components,INE025R01021,23-JAN-2020,EQUITY_L (beyond Nifty 500)
ARTNIRMAN,Art Nirman Limited,Micro Cap,Others / Diversified,INE738V01013,18-OCT-2021,EQUITY_L (beyond Nifty 500)
ARVEE,Arvee Laboratories (India) Limited,Micro Cap,Healthcare & Pharma,INE006Z01016,22-MAR-2021,EQUITY_L (beyond Nifty 500)
ARVIND,Arvind Limited,Micro Cap,Textiles,INE034A01011,08-FEB-1995,Nifty Microcap 250
ARVINDFASN,Arvind Fashions Limited,Micro Cap,Consumer Services,INE955V01021,08-MAR-2019,Nifty Microcap 250
ARVSMART,Arvind SmartSpaces Limited,Micro Cap,Retail & Consumer Services,INE034S01021,26-AUG-2015,EQUITY_L (beyond Nifty 500)
ASAHISONG,Asahi Songwon Colors Limited,Micro Cap,Others / Diversified,INE228I01012,29-AUG-2011,EQUITY_L (beyond Nifty 500)
ASAL,Automotive Stampings and Assemblies Limited,Micro Cap,Automobile & Auto Components,INE900C01027,12-MAR-2002,EQUITY_L (beyond Nifty 500)
